Simulation_ID,Stock_Basket,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Total_Invested,Final_Value,Net_Profit,XIRR_Pct,Capital_Multiple,Beat_NiftyBeES,XIRR_Bucket,Bucket_Sort
65,ITC + TCS + TMPV + TRENT + YESBANK,ITC,TCS,TMPV,TRENT,YESBANK,2010000.0,7770060.4,5760060.4,14.65,3.87,1,12% - 15% (Index Level),3
66,BAJFINANCE + ICICIBANK + INFY + LT + YESBANK,BAJFINANCE,ICICIBANK,INFY,LT,YESBANK,2010000.0,23148721.0,21138721.0,25.51,11.52,1,> 22% (Exceptional),6
67,BAJFINANCE + ITC + LT + MARUTI + TMPV,BAJFINANCE,ITC,LT,MARUTI,TMPV,2010000.0,22842871.31,20832871.31,25.38,11.36,1,> 22% (Exceptional),6
68,ASIANPAINT + ICICIBANK + IDEA + SBIN + TMPV,ASIANPAINT,ICICIBANK,IDEA,SBIN,TMPV,2010000.0,5729312.91,3719312.91,11.53,2.85,1,8% - 12% (Moderate),2
69,BAJFINANCE + ICICIBANK + ITC + MARUTI + TCS,BAJFINANCE,ICICIBANK,ITC,MARUTI,TCS,2010000.0,23650240.11,21640240.11,25.73,11.77,1,> 22% (Exceptional),6
70,ASIANPAINT + ICICIBANK + SBIN + TITAN + TMPV,ASIANPAINT,ICICIBANK,SBIN,TITAN,TMPV,2010000.0,10171505.54,8161505.54,17.36,5.06,1,15% - 18% (Solid Alpha),4
71,HDFCBANK + IDEA + SUZLON + TATAPOWER + TRENT,HDFCBANK,IDEA,SUZLON,TATAPOWER,TRENT,2010000.0,10309790.71,8299790.71,17.49,5.13,1,15% - 18% (Solid Alpha),4
72,BAJFINANCE + INFY + LT + TITAN + TMPV,BAJFINANCE,INFY,LT,TITAN,TMPV,2010000.0,26184374.77,24174374.77,26.73,13.03,1,> 22% (Exceptional),6
73,ICICIBANK + IDEA + LT + RELIANCE + TMPV,ICICIBANK,IDEA,LT,RELIANCE,TMPV,2010000.0,5916581.11,3906581.11,11.86,2.94,1,8% - 12% (Moderate),2
74,ITC + LT + MARUTI + TCS + YESBANK,ITC,LT,MARUTI,TCS,YESBANK,2010000.0,5263200.33,3253200.33,10.65,2.62,0,8% - 12% (Moderate),2
75,HDFCBANK + IDEA + ITC + LT + SUZLON,HDFCBANK,IDEA,ITC,LT,SUZLON,2010000.0,5618577.63,3608577.63,11.32,2.8,1,8% - 12% (Moderate),2
76,ASIANPAINT + LT + RELIANCE + TCS + TITAN,ASIANPAINT,LT,RELIANCE,TCS,TITAN,2010000.0,10374310.94,8364310.94,17.56,5.16,1,15% - 18% (Solid Alpha),4
77,HDFCBANK + IDEA + LT + RELIANCE + YESBANK,HDFCBANK,IDEA,LT,RELIANCE,YESBANK,2010000.0,4949570.57,2939570.57,10.0,2.46,0,8% - 12% (Moderate),2
78,HDFCBANK + ICICIBANK + RELIANCE + SUZLON + TITAN,HDFCBANK,ICICIBANK,RELIANCE,SUZLON,TITAN,2010000.0,11174739.19,9164739.19,18.3,5.56,1,18% - 22% (High Alpha),5
79,BAJFINANCE + HDFCBANK + LT + SBIN + TRENT,BAJFINANCE,HDFCBANK,LT,SBIN,TRENT,2010000.0,28076101.34,26066101.34,27.42,13.97,1,> 22% (Exceptional),6
80,LT + MARUTI + RELIANCE + TITAN + YESBANK,LT,MARUTI,RELIANCE,TITAN,YESBANK,2010000.0,9951613.38,7941613.38,17.14,4.95,1,15% - 18% (Solid Alpha),4
81,BAJFINANCE + IDEA + RELIANCE + TCS + TMPV,BAJFINANCE,IDEA,RELIANCE,TCS,TMPV,2010000.0,21635039.13,19625039.13,24.85,10.76,1,> 22% (Exceptional),6
82,MARUTI + TCS + TITAN + TMPV + YESBANK,MARUTI,TCS,TITAN,TMPV,YESBANK,2010000.0,8169795.11,6159795.11,15.15,4.06,1,15% - 18% (Solid Alpha),4
83,M&M + MARUTI + SBIN + SUZLON + YESBANK,M&M,MARUTI,SBIN,SUZLON,YESBANK,2010000.0,7432080.09,5422080.09,14.19,3.7,1,12% - 15% (Index Level),3
84,ITC + M&M + TCS + TITAN + TRENT,ITC,M&M,TCS,TITAN,TRENT,2010000.0,14056625.48,12046625.48,20.58,6.99,1,18% - 22% (High Alpha),5
85,ASIANPAINT + HDFCBANK + RELIANCE + TATAPOWER + TCS,ASIANPAINT,HDFCBANK,RELIANCE,TATAPOWER,TCS,2010000.0,6678067.11,4668067.11,13.1,3.32,1,12% - 15% (Index Level),3
86,INFY + LT + SUZLON + TATAPOWER + YESBANK,INFY,LT,SUZLON,TATAPOWER,YESBANK,2010000.0,6228582.7,4218582.7,12.39,3.1,1,12% - 15% (Index Level),3
87,ITC + LT + MARUTI + SUZLON + TITAN,ITC,LT,MARUTI,SUZLON,TITAN,2010000.0,10620620.44,8610620.44,17.79,5.28,1,15% - 18% (Solid Alpha),4
88,ASIANPAINT + M&M + SBIN + TATAPOWER + TRENT,ASIANPAINT,M&M,SBIN,TATAPOWER,TRENT,2010000.0,12192442.31,10182442.31,19.17,6.07,1,18% - 22% (High Alpha),5
89,IDEA + INFY + M&M + MARUTI + TITAN,IDEA,INFY,M&M,MARUTI,TITAN,2010000.0,9996125.28,7986125.28,17.18,4.97,1,15% - 18% (Solid Alpha),4
90,BAJFINANCE + ICICIBANK + RELIANCE + TCS + TMPV,BAJFINANCE,ICICIBANK,RELIANCE,TCS,TMPV,2010000.0,23202715.25,21192715.25,25.54,11.54,1,> 22% (Exceptional),6
91,ASIANPAINT + LT + SBIN + SUZLON + TMPV,ASIANPAINT,LT,SBIN,SUZLON,TMPV,2010000.0,6811090.37,4801090.37,13.3,3.39,1,12% - 15% (Index Level),3
92,ICICIBANK + IDEA + SBIN + SUZLON + YESBANK,ICICIBANK,IDEA,SBIN,SUZLON,YESBANK,2010000.0,5874108.61,3864108.61,11.78,2.92,1,8% - 12% (Moderate),2
93,HDFCBANK + IDEA + SBIN + TCS + TRENT,HDFCBANK,IDEA,SBIN,TCS,TRENT,2010000.0,9390111.97,7380111.97,16.56,4.67,1,15% - 18% (Solid Alpha),4
94,BAJFINANCE + IDEA + TATAPOWER + TCS + YESBANK,BAJFINANCE,IDEA,TATAPOWER,TCS,YESBANK,2010000.0,21583233.13,19573233.13,24.82,10.74,1,> 22% (Exceptional),6
95,ITC + LT + SUZLON + TRENT + YESBANK,ITC,LT,SUZLON,TRENT,YESBANK,2010000.0,9791606.27,7781606.27,16.98,4.87,1,15% - 18% (Solid Alpha),4
96,M&M + RELIANCE + SUZLON + TATAPOWER + TRENT,M&M,RELIANCE,SUZLON,TATAPOWER,TRENT,2010000.0,12494252.83,10484252.83,19.41,6.22,1,18% - 22% (High Alpha),5
97,IDEA + ITC + TCS + TMPV + YESBANK,IDEA,ITC,TCS,TMPV,YESBANK,2010000.0,2734471.38,724471.38,3.57,1.36,0,< 8% (Lagging Market),1
98,BAJFINANCE + HDFCBANK + SUZLON + TMPV + YESBANK,BAJFINANCE,HDFCBANK,SUZLON,TMPV,YESBANK,2010000.0,21968283.98,19958283.98,25.0,10.93,1,> 22% (Exceptional),6
99,M&M + MARUTI + SUZLON + TATAPOWER + TITAN,M&M,MARUTI,SUZLON,TATAPOWER,TITAN,2010000.0,12080239.1,10070239.1,19.08,6.01,1,18% - 22% (High Alpha),5
100,BAJFINANCE + MARUTI + TMPV + TRENT + YESBANK,BAJFINANCE,MARUTI,TMPV,TRENT,YESBANK,2010000.0,26181725.23,24171725.23,26.73,13.03,1,> 22% (Exceptional),6
101,ASIANPAINT + HDFCBANK + INFY + MARUTI + TRENT,ASIANPAINT,HDFCBANK,INFY,MARUTI,TRENT,2010000.0,10623394.89,8613394.89,17.79,5.29,1,15% - 18% (Solid Alpha),4
102,BAJFINANCE + ICICIBANK + INFY + MARUTI + YESBANK,BAJFINANCE,ICICIBANK,INFY,MARUTI,YESBANK,2010000.0,23202918.37,21192918.37,25.54,11.54,1,> 22% (Exceptional),6
103,ASIANPAINT + BAJFINANCE + M&M + RELIANCE + SUZLON,ASIANPAINT,BAJFINANCE,M&M,RELIANCE,SUZLON,2010000.0,25269188.93,23259188.93,26.38,12.57,1,> 22% (Exceptional),6
104,BAJFINANCE + M&M + RELIANCE + TITAN + TMPV,BAJFINANCE,M&M,RELIANCE,TITAN,TMPV,2010000.0,27313698.34,25303698.34,27.15,13.59,1,> 22% (Exceptional),6
105,HDFCBANK + ITC + LT + SBIN + SUZLON,HDFCBANK,ITC,LT,SBIN,SUZLON,2010000.0,6764970.43,4754970.43,13.23,3.37,1,12% - 15% (Index Level),3
106,BAJFINANCE + IDEA + SBIN + SUZLON + TMPV,BAJFINANCE,IDEA,SBIN,SUZLON,TMPV,2010000.0,22453631.5,20443631.5,25.21,11.17,1,> 22% (Exceptional),6
107,ASIANPAINT + HDFCBANK + M&M + RELIANCE + SBIN,ASIANPAINT,HDFCBANK,M&M,RELIANCE,SBIN,2010000.0,7809324.86,5799324.86,14.7,3.89,1,12% - 15% (Index Level),3
108,BAJFINANCE + HDFCBANK + M&M + MARUTI + SBIN,BAJFINANCE,HDFCBANK,M&M,MARUTI,SBIN,2010000.0,24898704.28,22888704.28,26.23,12.39,1,> 22% (Exceptional),6
109,IDEA + LT + TITAN + TMPV + TRENT,IDEA,LT,TITAN,TMPV,TRENT,2010000.0,12684416.29,10674416.29,19.56,6.31,1,18% - 22% (High Alpha),5
110,BAJFINANCE + M&M + RELIANCE + SUZLON + TITAN,BAJFINANCE,M&M,RELIANCE,SUZLON,TITAN,2010000.0,28635316.58,26625316.58,27.61,14.25,1,> 22% (Exceptional),6
111,BAJFINANCE + HDFCBANK + M&M + SUZLON + TRENT,BAJFINANCE,HDFCBANK,M&M,SUZLON,TRENT,2010000.0,28848245.44,26838245.44,27.69,14.35,1,> 22% (Exceptional),6
112,ITC + RELIANCE + SUZLON + TCS + TRENT,ITC,RELIANCE,SUZLON,TCS,TRENT,2010000.0,10334706.56,8324706.56,17.52,5.14,1,15% - 18% (Solid Alpha),4
113,ICICIBANK + LT + MARUTI + RELIANCE + TITAN,ICICIBANK,LT,MARUTI,RELIANCE,TITAN,2010000.0,11620047.05,9610047.05,18.69,5.78,1,18% - 22% (High Alpha),5
114,HDFCBANK + INFY + RELIANCE + TCS + YESBANK,HDFCBANK,INFY,RELIANCE,TCS,YESBANK,2010000.0,4799128.7,2789128.7,9.68,2.39,0,8% - 12% (Moderate),2
115,ITC + M&M + MARUTI + TCS + TITAN,ITC,M&M,MARUTI,TCS,TITAN,2010000.0,10342689.47,8332689.47,17.53,5.15,1,15% - 18% (Solid Alpha),4
116,ICICIBANK + IDEA + MARUTI + SBIN + TRENT,ICICIBANK,IDEA,MARUTI,SBIN,TRENT,2010000.0,10950110.24,8940110.24,18.1,5.45,1,18% - 22% (High Alpha),5
117,ASIANPAINT + INFY + TCS + TRENT + YESBANK,ASIANPAINT,INFY,TCS,TRENT,YESBANK,2010000.0,9006709.52,6996709.52,16.14,4.48,1,15% - 18% (Solid Alpha),4
118,BAJFINANCE + IDEA + MARUTI + SUZLON + YESBANK,BAJFINANCE,IDEA,MARUTI,SUZLON,YESBANK,2010000.0,22467754.45,20457754.45,25.22,11.18,1,> 22% (Exceptional),6
119,ASIANPAINT + INFY + RELIANCE + TMPV + YESBANK,ASIANPAINT,INFY,RELIANCE,TMPV,YESBANK,2010000.0,4606242.54,2596242.54,9.25,2.29,0,8% - 12% (Moderate),2
120,BAJFINANCE + ICICIBANK + SUZLON + TATAPOWER + TCS,BAJFINANCE,ICICIBANK,SUZLON,TATAPOWER,TCS,2010000.0,24633664.76,22623664.76,26.13,12.26,1,> 22% (Exceptional),6
121,IDEA + LT + MARUTI + TATAPOWER + TCS,IDEA,LT,MARUTI,TATAPOWER,TCS,2010000.0,6287037.58,4277037.58,12.48,3.13,1,12% - 15% (Index Level),3
122,IDEA + INFY + RELIANCE + SBIN + TITAN,IDEA,INFY,RELIANCE,SBIN,TITAN,2010000.0,9159140.83,7149140.83,16.31,4.56,1,15% - 18% (Solid Alpha),4
123,BAJFINANCE + IDEA + M&M + TATAPOWER + TCS,BAJFINANCE,IDEA,M&M,TATAPOWER,TCS,2010000.0,23487985.28,21477985.28,25.66,11.69,1,> 22% (Exceptional),6
124,IDEA + SBIN + TATAPOWER + TITAN + YESBANK,IDEA,SBIN,TATAPOWER,TITAN,YESBANK,2010000.0,8618228.8,6608228.8,15.69,4.29,1,15% - 18% (Solid Alpha),4
125,HDFCBANK + M&M + SUZLON + TATAPOWER + YESBANK,HDFCBANK,M&M,SUZLON,TATAPOWER,YESBANK,2010000.0,6977438.74,4967438.74,13.55,3.47,1,12% - 15% (Index Level),3
126,IDEA + SBIN + SUZLON + TATAPOWER + YESBANK,IDEA,SBIN,SUZLON,TATAPOWER,YESBANK,2010000.0,5558034.11,3548034.11,11.21,2.77,1,8% - 12% (Moderate),2
127,HDFCBANK + INFY + TITAN + TRENT + YESBANK,HDFCBANK,INFY,TITAN,TRENT,YESBANK,2010000.0,12567111.98,10557111.98,19.47,6.25,1,18% - 22% (High Alpha),5
128,HDFCBANK + IDEA + INFY + MARUTI + SUZLON,HDFCBANK,IDEA,INFY,MARUTI,SUZLON,2010000.0,5893738.83,3883738.83,11.82,2.93,1,8% - 12% (Moderate),2
129,BAJFINANCE + HDFCBANK + SUZLON + TCS + YESBANK,BAJFINANCE,HDFCBANK,SUZLON,TCS,YESBANK,2010000.0,22475432.3,20465432.3,25.22,11.18,1,> 22% (Exceptional),6
130,ASIANPAINT + INFY + RELIANCE + SBIN + TRENT,ASIANPAINT,INFY,RELIANCE,SBIN,TRENT,2010000.0,10828602.21,8818602.21,17.98,5.39,1,15% - 18% (Solid Alpha),4
131,ICICIBANK + M&M + RELIANCE + TATAPOWER + YESBANK,ICICIBANK,M&M,RELIANCE,TATAPOWER,YESBANK,2010000.0,7543584.43,5533584.43,14.34,3.75,1,12% - 15% (Index Level),3
132,ICICIBANK + ITC + SBIN + TCS + TITAN,ICICIBANK,ITC,SBIN,TCS,TITAN,2010000.0,9931110.79,7921110.79,17.12,4.94,1,15% - 18% (Solid Alpha),4
133,ASIANPAINT + ICICIBANK + LT + MARUTI + TCS,ASIANPAINT,ICICIBANK,LT,MARUTI,TCS,2010000.0,7679177.07,5669177.07,14.53,3.82,1,12% - 15% (Index Level),3
