SIP_Date,Ticker,Year_Month,Year,Month_Number,SIP_Buy_Price,SIP_Close_Price,Day_of_Month_Executed
2012-09-03,ASIANPAINT.NS,2012-09,2012,9,323.4537,365.1,3
2012-10-01,ASIANPAINT.NS,2012-10,2012,10,349.0261,393.965,1
2012-11-01,ASIANPAINT.NS,2012-11,2012,11,344.4574,387.86,1
2012-12-03,ASIANPAINT.NS,2012-12,2012,12,386.0248,434.665,3
2013-01-01,ASIANPAINT.NS,2013-01,2013,1,392.8098,442.305,1
2013-02-01,ASIANPAINT.NS,2013-02,2013,2,403.4226,454.255,1
2013-03-01,ASIANPAINT.NS,2013-03,2013,3,387.1305,435.91,1
2013-04-01,ASIANPAINT.NS,2013-04,2013,4,440.0478,495.495,1
2013-05-02,ASIANPAINT.NS,2013-05,2013,5,419.8346,472.735,2
2013-06-03,ASIANPAINT.NS,2013-06,2013,6,416.8994,469.43,3
2013-07-01,ASIANPAINT.NS,2013-07,2013,7,421.809,471.25,1
2013-08-01,ASIANPAINT.NS,2013-08,2013,8,445.9315,498.2,1
2013-09-02,ASIANPAINT.NS,2013-09,2013,9,378.084,422.4,2
2013-10-01,ASIANPAINT.NS,2013-10,2013,10,406.682,454.35,1
2013-11-01,ASIANPAINT.NS,2013-11,2013,11,486.8779,542.8,1
2013-12-02,ASIANPAINT.NS,2013-12,2013,12,453.062,505.1,2
2014-01-01,ASIANPAINT.NS,2014-01,2014,1,448.2632,499.75,1
2014-02-03,ASIANPAINT.NS,2014-02,2014,2,421.4885,469.9,3
2014-03-03,ASIANPAINT.NS,2014-03,2014,3,424.2243,472.95,3
2014-04-01,ASIANPAINT.NS,2014-04,2014,4,481.3615,536.65,1
2014-05-02,ASIANPAINT.NS,2014-05,2014,5,458.7578,511.45,2
2014-06-02,ASIANPAINT.NS,2014-06,2014,6,457.3227,509.85,2
2014-07-01,ASIANPAINT.NS,2014-07,2014,7,527.787,583.85,1
2014-08-01,ASIANPAINT.NS,2014-08,2014,8,564.5339,624.5,1
2014-09-01,ASIANPAINT.NS,2014-09,2014,9,569.3247,629.8,1
2014-10-01,ASIANPAINT.NS,2014-10,2014,10,572.5819,631.7,1
2014-11-03,ASIANPAINT.NS,2014-11,2014,11,592.4324,653.6,3
2014-12-01,ASIANPAINT.NS,2014-12,2014,12,722.4575,797.05,1
2015-01-01,ASIANPAINT.NS,2015-01,2015,1,679.0402,749.15,1
2015-02-02,ASIANPAINT.NS,2015-02,2015,2,732.4733,808.1,2
2015-03-02,ASIANPAINT.NS,2015-03,2015,3,748.3355,825.6,2
2015-04-01,ASIANPAINT.NS,2015-04,2015,4,744.8007,821.7,1
2015-05-04,ASIANPAINT.NS,2015-05,2015,5,706.4591,779.4,4
2015-06-01,ASIANPAINT.NS,2015-06,2015,6,715.8406,789.75,1
2015-07-01,ASIANPAINT.NS,2015-07,2015,7,693.5422,760.8,1
2015-08-03,ASIANPAINT.NS,2015-08,2015,8,799.9252,877.5,3
2015-09-01,ASIANPAINT.NS,2015-09,2015,9,746.6882,819.1,1
2015-10-01,ASIANPAINT.NS,2015-10,2015,10,765.4214,839.65,1
2015-11-02,ASIANPAINT.NS,2015-11,2015,11,758.7338,830.1,2
2015-12-01,ASIANPAINT.NS,2015-12,2015,12,771.9872,844.6,1
2016-01-01,ASIANPAINT.NS,2016-01,2016,1,803.2013,878.75,1
2016-02-01,ASIANPAINT.NS,2016-02,2016,2,811.1077,887.4,1
2016-03-01,ASIANPAINT.NS,2016-03,2016,3,796.9859,871.95,1
2016-04-01,ASIANPAINT.NS,2016-04,2016,4,795.2036,870.0,1
2016-05-02,ASIANPAINT.NS,2016-05,2016,5,790.4504,864.8,2
2016-06-01,ASIANPAINT.NS,2016-06,2016,6,933.8615,1021.7,1
2016-07-01,ASIANPAINT.NS,2016-07,2016,7,921.2023,1002.5,1
2016-08-01,ASIANPAINT.NS,2016-08,2016,8,1030.0006,1120.9,1
2016-09-01,ASIANPAINT.NS,2016-09,2016,9,1063.1271,1156.95,1
2016-10-03,ASIANPAINT.NS,2016-10,2016,10,1096.2538,1193.0,3
2016-11-01,ASIANPAINT.NS,2016-11,2016,11,991.8419,1076.7,1
2016-12-01,ASIANPAINT.NS,2016-12,2016,12,865.1326,939.15,1
2017-01-02,ASIANPAINT.NS,2017-01,2017,1,833.3516,904.65,2
2017-02-01,ASIANPAINT.NS,2017-02,2017,2,912.896,991.0,1
2017-03-01,ASIANPAINT.NS,2017-03,2017,3,951.3554,1032.75,1
2017-04-03,ASIANPAINT.NS,2017-04,2017,4,1003.9555,1089.85,3
2017-05-02,ASIANPAINT.NS,2017-05,2017,5,1024.4519,1112.1,2
2017-06-01,ASIANPAINT.NS,2017-06,2017,6,1068.9912,1160.45,1
2017-07-03,ASIANPAINT.NS,2017-07,2017,7,1038.8726,1120.25,3
2017-08-01,ASIANPAINT.NS,2017-08,2017,8,1064.7924,1148.2,1
2017-09-01,ASIANPAINT.NS,2017-09,2017,9,1127.5747,1215.9,1
2017-10-03,ASIANPAINT.NS,2017-10,2017,10,1065.3488,1148.8,3
2017-11-01,ASIANPAINT.NS,2017-11,2017,11,1092.9757,1175.95,1
2017-12-01,ASIANPAINT.NS,2017-12,2017,12,1053.7533,1133.75,1
2018-01-01,ASIANPAINT.NS,2018-01,2018,1,1062.9551,1143.65,1
2018-02-01,ASIANPAINT.NS,2018-02,2018,2,1071.6453,1153.0,1
2018-03-01,ASIANPAINT.NS,2018-03,2018,3,1039.9512,1118.9,1
2018-04-02,ASIANPAINT.NS,2018-04,2018,4,1068.9961,1150.15,2
2018-05-02,ASIANPAINT.NS,2018-05,2018,5,1136.0552,1222.3,2
2018-06-01,ASIANPAINT.NS,2018-06,2018,6,1201.8132,1293.05,1
2018-07-02,ASIANPAINT.NS,2018-07,2018,7,1207.4921,1293.05,2
2018-08-01,ASIANPAINT.NS,2018-08,2018,8,1342.1039,1437.2,1
2018-09-03,ASIANPAINT.NS,2018-09,2018,9,1271.5062,1361.6,3
2018-10-01,ASIANPAINT.NS,2018-10,2018,10,1195.119,1279.8,1
2018-11-01,ASIANPAINT.NS,2018-11,2018,11,1139.9509,1217.8,1
2018-12-03,ASIANPAINT.NS,2018-12,2018,12,1253.1223,1338.7,3
2019-01-01,ASIANPAINT.NS,2019-01,2019,1,1283.8719,1371.55,1
2019-02-01,ASIANPAINT.NS,2019-02,2019,2,1364.0469,1457.2,1
2019-03-01,ASIANPAINT.NS,2019-03,2019,3,1303.3423,1392.35,1
2019-04-01,ASIANPAINT.NS,2019-04,2019,4,1397.3242,1492.75,1
2019-05-02,ASIANPAINT.NS,2019-05,2019,5,1344.7635,1436.6,2
2019-06-03,ASIANPAINT.NS,2019-06,2019,6,1365.9656,1459.25,3
2019-07-01,ASIANPAINT.NS,2019-07,2019,7,1274.1415,1353.85,1
2019-08-01,ASIANPAINT.NS,2019-08,2019,8,1416.11,1504.7,1
2019-09-03,ASIANPAINT.NS,2019-09,2019,9,1483.9183,1576.75,3
2019-10-01,ASIANPAINT.NS,2019-10,2019,10,1662.1201,1766.1,1
2019-11-01,ASIANPAINT.NS,2019-11,2019,11,1665.4305,1766.35,1
2019-12-02,ASIANPAINT.NS,2019-12,2019,12,1638.9363,1738.25,2
2020-01-01,ASIANPAINT.NS,2020-01,2020,1,1690.7466,1793.2,1
2020-02-03,ASIANPAINT.NS,2020-02,2020,2,1760.9427,1867.65,3
2020-03-02,ASIANPAINT.NS,2020-03,2020,3,1684.7123,1786.8,2
2020-04-01,ASIANPAINT.NS,2020-04,2020,4,1517.675,1603.2,1
2020-05-04,ASIANPAINT.NS,2020-05,2020,5,1587.3488,1676.8,4
2020-06-01,ASIANPAINT.NS,2020-06,2020,6,1602.9214,1693.25,1
2020-07-01,ASIANPAINT.NS,2020-07,2020,7,1597.9514,1688.0,1
2020-08-03,ASIANPAINT.NS,2020-08,2020,8,1615.9473,1705.5,3
2020-09-01,ASIANPAINT.NS,2020-09,2020,9,1875.3705,1979.3,1
2020-10-01,ASIANPAINT.NS,2020-10,2020,10,1933.3096,2040.45,1
2020-11-02,ASIANPAINT.NS,2020-11,2020,11,2061.9009,2172.8501,2
2020-12-01,ASIANPAINT.NS,2020-12,2020,12,2116.1797,2230.05,1
2021-01-01,ASIANPAINT.NS,2021-01,2021,1,2633.8254,2775.55,1
2021-02-01,ASIANPAINT.NS,2021-02,2021,2,2322.8115,2447.8,1
2021-03-01,ASIANPAINT.NS,2021-03,2021,3,2241.6768,2362.3,1
2021-04-01,ASIANPAINT.NS,2021-04,2021,4,2421.4531,2551.75,1
2021-05-03,ASIANPAINT.NS,2021-05,2021,5,2450.301,2582.1499,3
2021-06-01,ASIANPAINT.NS,2021-06,2021,6,2781.3379,2931.0,1
2021-07-01,ASIANPAINT.NS,2021-07,2021,7,2881.5063,3021.6001,1
2021-08-02,ASIANPAINT.NS,2021-08,2021,8,2836.1606,2974.05,2
2021-09-01,ASIANPAINT.NS,2021-09,2021,9,3149.6211,3302.75,1
2021-10-01,ASIANPAINT.NS,2021-10,2021,10,3030.512,3177.8501,1
2021-11-01,ASIANPAINT.NS,2021-11,2021,11,2980.5759,3121.8,1
2021-12-01,ASIANPAINT.NS,2021-12,2021,12,2996.1863,3138.1499,1
2022-01-03,ASIANPAINT.NS,2022-01,2022,1,3267.5774,3422.3999,3
2022-02-01,ASIANPAINT.NS,2022-02,2022,2,3051.6582,3196.25,1
2022-03-02,ASIANPAINT.NS,2022-03,2022,3,2891.9263,3028.95,2
2022-04-01,ASIANPAINT.NS,2022-04,2022,4,2973.2715,3114.1499,1
2022-05-02,ASIANPAINT.NS,2022-05,2022,5,3055.2383,3200.0,2
2022-06-01,ASIANPAINT.NS,2022-06,2022,6,2723.4587,2852.5,1
2022-07-01,ASIANPAINT.NS,2022-07,2022,7,2662.9558,2773.1499,1
2022-08-01,ASIANPAINT.NS,2022-08,2022,8,3192.4456,3324.55,1
2022-09-01,ASIANPAINT.NS,2022-09,2022,9,3309.5979,3446.55,1
2022-10-03,ASIANPAINT.NS,2022-10,2022,10,3171.656,3302.8999,3
2022-11-01,ASIANPAINT.NS,2022-11,2022,11,3038.2361,3159.3999,1
2022-12-01,ASIANPAINT.NS,2022-12,2022,12,3057.4211,3179.3501,1
2023-01-02,ASIANPAINT.NS,2023-01,2023,1,2930.3877,3047.25,2
2023-02-01,ASIANPAINT.NS,2023-02,2023,2,2638.5269,2743.75,1
2023-03-01,ASIANPAINT.NS,2023-03,2023,3,2731.9507,2840.8999,1
2023-04-03,ASIANPAINT.NS,2023-04,2023,4,2670.5015,2777.0,3
2023-05-02,ASIANPAINT.NS,2023-05,2023,5,2788.3521,2899.55,2
2023-06-01,ASIANPAINT.NS,2023-06,2023,6,3116.4187,3240.7,1
2023-07-03,ASIANPAINT.NS,2023-07,2023,7,3251.4019,3358.7,3
2023-08-01,ASIANPAINT.NS,2023-08,2023,8,3236.155,3342.95,1
2023-09-01,ASIANPAINT.NS,2023-09,2023,9,3155.4197,3259.55,1
2023-10-03,ASIANPAINT.NS,2023-10,2023,10,3065.6809,3166.8501,3
2023-11-01,ASIANPAINT.NS,2023-11,2023,11,2840.802,2934.55,1
2023-12-01,ASIANPAINT.NS,2023-12,2023,12,3077.3843,3173.3999,1
2024-01-01,ASIANPAINT.NS,2024-01,2024,1,3293.3462,3396.1001,1
2024-02-01,ASIANPAINT.NS,2024-02,2024,2,2840.7183,2929.3501,1
2024-03-01,ASIANPAINT.NS,2024-03,2024,3,2746.0713,2831.75,1
2024-04-01,ASIANPAINT.NS,2024-04,2024,4,2784.1338,2871.0,1
2024-05-02,ASIANPAINT.NS,2024-05,2024,5,2885.375,2975.3999,2
2024-06-03,ASIANPAINT.NS,2024-06,2024,6,2779.7217,2866.45,3
2024-07-01,ASIANPAINT.NS,2024-07,2024,7,2866.6863,2927.8,1
2024-08-01,ASIANPAINT.NS,2024-08,2024,8,3034.6555,3099.3501,1
2024-09-02,ASIANPAINT.NS,2024-09,2024,9,3085.1785,3150.95,2
2024-10-01,ASIANPAINT.NS,2024-10,2024,10,3208.9399,3277.3501,1
2024-11-01,ASIANPAINT.NS,2024-11,2024,11,2878.4849,2939.8501,1
2024-12-02,ASIANPAINT.NS,2024-12,2024,12,2431.4639,2479.05,2
2025-01-01,ASIANPAINT.NS,2025-01,2025,1,2260.4114,2304.6499,1
2025-02-01,ASIANPAINT.NS,2025-02,2025,2,2306.0188,2351.1499,1
2025-03-03,ASIANPAINT.NS,2025-03,2025,3,2124.8152,2166.3999,3
2025-04-01,ASIANPAINT.NS,2025-04,2025,4,2271.5435,2316.0,1
2025-05-02,ASIANPAINT.NS,2025-05,2025,5,2363.7393,2410.0,2
2025-06-02,ASIANPAINT.NS,2025-06,2025,6,2223.1899,2266.7,2
2025-07-01,ASIANPAINT.NS,2025-07,2025,7,2345.4587,2369.5,1
2025-08-01,ASIANPAINT.NS,2025-08,2025,8,2406.3345,2431.0,1
2025-09-01,ASIANPAINT.NS,2025-09,2025,9,2544.1223,2570.2,1
2025-10-01,ASIANPAINT.NS,2025-10,2025,10,2312.1006,2335.8,1
2025-11-03,ASIANPAINT.NS,2025-11,2025,11,2486.7107,2512.2,3
2025-12-01,ASIANPAINT.NS,2025-12,2025,12,2842.9348,2867.6001,1
2026-01-01,ASIANPAINT.NS,2026-01,2026,1,2728.3291,2752.0,1
2026-02-02,ASIANPAINT.NS,2026-02,2026,2,2381.3396,2402.0,2
2026-03-02,ASIANPAINT.NS,2026-03,2026,3,2287.2559,2307.1001,2
2026-04-01,ASIANPAINT.NS,2026-04,2026,4,2206.655,2225.8,1
2026-05-01,ASIANPAINT.NS,2026-05,2026,5,2423.4739,2444.5,1
2026-06-01,ASIANPAINT.NS,2026-06,2026,6,2609.7576,2632.3999,1
2026-07-01,ASIANPAINT.NS,2026-07,2026,7,2716.3999,2716.3999,1
2026-08-03,ASIANPAINT.NS,2026-08,2026,8,2810.0,2810.0,3
2026-09-01,ASIANPAINT.NS,2026-09,2026,9,2575.5,2575.5,1
2010-01-04,BAJFINANCE.NS,2010-01,2010,1,3.0096,3.3335,4
2010-02-01,BAJFINANCE.NS,2010-02,2010,2,2.7162,3.0085,1
2010-03-02,BAJFINANCE.NS,2010-03,2010,3,2.76,3.0571,2
2010-04-01,BAJFINANCE.NS,2010-04,2010,4,2.857,3.1644,1
2010-05-03,BAJFINANCE.NS,2010-05,2010,5,3.7346,4.1365,3
2010-06-01,BAJFINANCE.NS,2010-06,2010,6,4.1219,4.5655,1
2010-07-01,BAJFINANCE.NS,2010-07,2010,7,4.0605,4.4974,1
2010-08-02,BAJFINANCE.NS,2010-08,2010,8,5.1009,5.5827,2
2010-09-01,BAJFINANCE.NS,2010-09,2010,9,5.5741,6.1006,1
2010-10-01,BAJFINANCE.NS,2010-10,2010,10,6.8795,7.5293,1
2010-11-01,BAJFINANCE.NS,2010-11,2010,11,7.0894,7.759,1
2010-12-01,BAJFINANCE.NS,2010-12,2010,12,6.3322,6.9303,1
2011-01-03,BAJFINANCE.NS,2011-01,2011,1,6.2563,6.8472,3
2011-02-01,BAJFINANCE.NS,2011-02,2011,2,4.9837,5.4545,1
2011-03-01,BAJFINANCE.NS,2011-03,2011,3,5.4835,6.0015,1
2011-04-01,BAJFINANCE.NS,2011-04,2011,4,6.2088,6.7952,1
2011-05-02,BAJFINANCE.NS,2011-05,2011,5,6.136,6.7156,2
2011-06-01,BAJFINANCE.NS,2011-06,2011,6,5.6091,6.1389,1
2011-07-01,BAJFINANCE.NS,2011-07,2011,7,5.6036,6.0316,1
2011-08-01,BAJFINANCE.NS,2011-08,2011,8,6.4101,6.8997,1
2011-09-02,BAJFINANCE.NS,2011-09,2011,9,5.6762,6.1098,2
2011-10-03,BAJFINANCE.NS,2011-10,2011,10,5.7629,6.2031,3
2011-11-01,BAJFINANCE.NS,2011-11,2011,11,6.2372,6.7136,1
2011-12-01,BAJFINANCE.NS,2011-12,2011,12,5.7516,6.1909,1
2012-01-02,BAJFINANCE.NS,2012-01,2012,1,5.4465,5.8625,2
2012-02-01,BAJFINANCE.NS,2012-02,2012,2,7.0171,7.5531,1
2012-03-01,BAJFINANCE.NS,2012-03,2012,3,6.9796,7.5128,1
2012-04-02,BAJFINANCE.NS,2012-04,2012,4,7.5343,8.1098,2
2012-05-02,BAJFINANCE.NS,2012-05,2012,5,8.0294,8.6427,2
2012-06-01,BAJFINANCE.NS,2012-06,2012,6,7.6286,8.2113,1
2012-07-02,BAJFINANCE.NS,2012-07,2012,7,8.2005,8.8268,2
2012-08-01,BAJFINANCE.NS,2012-08,2012,8,9.5551,10.1506,1
2012-09-03,BAJFINANCE.NS,2012-09,2012,9,9.5798,10.1768,3
2012-10-01,BAJFINANCE.NS,2012-10,2012,10,10.8964,11.5754,1
2012-11-01,BAJFINANCE.NS,2012-11,2012,11,11.8073,12.5431,1
2012-12-03,BAJFINANCE.NS,2012-12,2012,12,12.528,13.3087,3
2013-01-01,BAJFINANCE.NS,2013-01,2013,1,12.4855,13.2635,1
2013-02-01,BAJFINANCE.NS,2013-02,2013,2,12.2011,12.9615,1
2013-03-01,BAJFINANCE.NS,2013-03,2013,3,12.0708,12.823,1
2013-04-01,BAJFINANCE.NS,2013-04,2013,4,11.0428,11.731,1
2013-05-02,BAJFINANCE.NS,2013-05,2013,5,11.9371,12.681,2
2013-06-03,BAJFINANCE.NS,2013-06,2013,6,13.912,14.779,3
2013-07-01,BAJFINANCE.NS,2013-07,2013,7,13.5458,14.39,1
2013-08-01,BAJFINANCE.NS,2013-08,2013,8,10.7494,11.2985,1
2013-09-02,BAJFINANCE.NS,2013-09,2013,9,9.6263,10.118,2
2013-10-01,BAJFINANCE.NS,2013-10,2013,10,10.9935,11.555,1
2013-11-01,BAJFINANCE.NS,2013-11,2013,11,13.009,13.6735,1
2013-12-02,BAJFINANCE.NS,2013-12,2013,12,13.3786,14.062,2
2014-01-01,BAJFINANCE.NS,2014-01,2014,1,14.9399,15.703,1
2014-02-03,BAJFINANCE.NS,2014-02,2014,2,14.1987,14.924,3
2014-03-03,BAJFINANCE.NS,2014-03,2014,3,15.1173,15.8895,3
2014-04-01,BAJFINANCE.NS,2014-04,2014,4,16.9107,17.7745,1
2014-05-02,BAJFINANCE.NS,2014-05,2014,5,17.8654,18.778,2
2014-06-02,BAJFINANCE.NS,2014-06,2014,6,19.8248,20.8375,2
2014-07-01,BAJFINANCE.NS,2014-07,2014,7,19.1199,20.0965,1
2014-08-01,BAJFINANCE.NS,2014-08,2014,8,21.0753,21.983,1
2014-09-01,BAJFINANCE.NS,2014-09,2014,9,23.3651,24.3715,1
2014-10-01,BAJFINANCE.NS,2014-10,2014,10,26.5567,27.7005,1
2014-11-03,BAJFINANCE.NS,2014-11,2014,11,26.7451,27.897,3
2014-12-01,BAJFINANCE.NS,2014-12,2014,12,29.5967,30.8715,1
2015-01-01,BAJFINANCE.NS,2015-01,2015,1,33.5519,34.997,1
2015-02-02,BAJFINANCE.NS,2015-02,2015,2,39.8832,41.601,2
2015-03-02,BAJFINANCE.NS,2015-03,2015,3,41.9084,43.7135,2
2015-04-01,BAJFINANCE.NS,2015-04,2015,4,39.691,41.4005,1
2015-05-04,BAJFINANCE.NS,2015-05,2015,5,40.1952,41.9265,4
2015-06-01,BAJFINANCE.NS,2015-06,2015,6,41.9904,43.799,1
2015-07-01,BAJFINANCE.NS,2015-07,2015,7,52.7116,54.982,1
2015-08-03,BAJFINANCE.NS,2015-08,2015,8,54.6654,56.8235,3
2015-09-01,BAJFINANCE.NS,2015-09,2015,9,47.4762,49.3505,1
2015-10-01,BAJFINANCE.NS,2015-10,2015,10,49.1357,51.0755,1
2015-11-02,BAJFINANCE.NS,2015-11,2015,11,50.2483,52.232,2
2015-12-01,BAJFINANCE.NS,2015-12,2015,12,53.9097,56.038,1
2016-01-01,BAJFINANCE.NS,2016-01,2016,1,58.6433,60.9585,1
2016-02-01,BAJFINANCE.NS,2016-02,2016,2,57.7516,60.0315,1
2016-03-01,BAJFINANCE.NS,2016-03,2016,3,59.7304,62.0885,1
2016-04-01,BAJFINANCE.NS,2016-04,2016,4,66.3475,68.775,1
2016-05-02,BAJFINANCE.NS,2016-05,2016,5,68.0477,70.5375,2
2016-06-01,BAJFINANCE.NS,2016-06,2016,6,73.7265,76.424,1
2016-07-01,BAJFINANCE.NS,2016-07,2016,7,78.7892,81.672,1
2016-08-01,BAJFINANCE.NS,2016-08,2016,8,108.3884,112.2625,1
2016-09-01,BAJFINANCE.NS,2016-09,2016,9,107.757,111.6085,1
2016-10-03,BAJFINANCE.NS,2016-10,2016,10,104.9199,108.67,3
2016-11-01,BAJFINANCE.NS,2016-11,2016,11,102.4193,106.08,1
2016-12-01,BAJFINANCE.NS,2016-12,2016,12,88.2652,91.42,1
2017-01-02,BAJFINANCE.NS,2017-01,2017,1,84.0026,87.005,2
2017-02-01,BAJFINANCE.NS,2017-02,2017,2,102.9358,106.615,1
2017-03-01,BAJFINANCE.NS,2017-03,2017,3,103.8724,107.585,1
2017-04-03,BAJFINANCE.NS,2017-04,2017,4,114.0969,118.175,3
2017-05-02,BAJFINANCE.NS,2017-05,2017,5,122.4822,126.86,2
2017-06-01,BAJFINANCE.NS,2017-06,2017,6,128.1545,132.735,1
2017-07-03,BAJFINANCE.NS,2017-07,2017,7,133.9281,138.715,3
2017-08-01,BAJFINANCE.NS,2017-08,2017,8,166.13,171.625,1
2017-09-01,BAJFINANCE.NS,2017-09,2017,9,174.232,179.995,1
2017-10-03,BAJFINANCE.NS,2017-10,2017,10,180.7998,186.78,3
2017-11-01,BAJFINANCE.NS,2017-11,2017,11,174.8903,180.675,1
2017-12-01,BAJFINANCE.NS,2017-12,2017,12,165.6799,171.16,1
2018-01-01,BAJFINANCE.NS,2018-01,2018,1,167.0399,172.565,1
2018-02-01,BAJFINANCE.NS,2018-02,2018,2,167.4078,172.945,1
2018-03-01,BAJFINANCE.NS,2018-03,2018,3,160.6222,165.935,1
2018-04-02,BAJFINANCE.NS,2018-04,2018,4,176.0373,181.86,2
2018-05-02,BAJFINANCE.NS,2018-05,2018,5,184.4104,190.51,2
2018-06-01,BAJFINANCE.NS,2018-06,2018,6,201.0887,207.74,1
2018-07-02,BAJFINANCE.NS,2018-07,2018,7,222.5925,229.955,2
2018-08-01,BAJFINANCE.NS,2018-08,2018,8,264.0153,272.28,1
2018-09-03,BAJFINANCE.NS,2018-09,2018,9,264.1366,272.405,3
2018-10-01,BAJFINANCE.NS,2018-10,2018,10,214.1464,220.85,1
2018-11-01,BAJFINANCE.NS,2018-11,2018,11,234.4702,241.81,1
2018-12-03,BAJFINANCE.NS,2018-12,2018,12,243.2503,250.865,3
2019-01-01,BAJFINANCE.NS,2019-01,2019,1,257.6205,265.685,1
2019-02-01,BAJFINANCE.NS,2019-02,2019,2,254.8618,262.84,1
2019-03-01,BAJFINANCE.NS,2019-03,2019,3,257.9986,266.075,1
2019-04-01,BAJFINANCE.NS,2019-04,2019,4,291.0345,300.145,1
2019-05-02,BAJFINANCE.NS,2019-05,2019,5,303.669,313.175,2
2019-06-03,BAJFINANCE.NS,2019-06,2019,6,340.4477,351.105,3
2019-07-01,BAJFINANCE.NS,2019-07,2019,7,358.6722,369.9,1
2019-08-01,BAJFINANCE.NS,2019-08,2019,8,312.9774,322.21,1
2019-09-03,BAJFINANCE.NS,2019-09,2019,9,316.5131,325.85,3
2019-10-01,BAJFINANCE.NS,2019-10,2019,10,387.8001,399.24,1
2019-11-01,BAJFINANCE.NS,2019-11,2019,11,395.3232,406.985,1
2019-12-02,BAJFINANCE.NS,2019-12,2019,12,383.7253,395.045,2
2020-01-01,BAJFINANCE.NS,2020-01,2020,1,411.0056,423.13,1
2020-02-03,BAJFINANCE.NS,2020-02,2020,2,423.4438,435.935,3
2020-03-02,BAJFINANCE.NS,2020-03,2020,3,423.5797,436.075,2
2020-04-01,BAJFINANCE.NS,2020-04,2020,4,216.0712,221.935,1
2020-05-04,BAJFINANCE.NS,2020-05,2020,5,202.4703,207.965,4
2020-06-01,BAJFINANCE.NS,2020-06,2020,6,210.3757,216.085,1
2020-07-01,BAJFINANCE.NS,2020-07,2020,7,287.5854,295.39,1
2020-08-03,BAJFINANCE.NS,2020-08,2020,8,309.0625,317.45,3
2020-09-01,BAJFINANCE.NS,2020-09,2020,9,354.7574,364.385,1
2020-10-01,BAJFINANCE.NS,2020-10,2020,10,335.1836,344.28,1
2020-11-02,BAJFINANCE.NS,2020-11,2020,11,332.9444,341.98,2
2020-12-01,BAJFINANCE.NS,2020-12,2020,12,473.2663,486.11,1
2021-01-01,BAJFINANCE.NS,2021-01,2021,1,514.0641,528.015,1
2021-02-01,BAJFINANCE.NS,2021-02,2021,2,492.4944,505.86,1
2021-03-01,BAJFINANCE.NS,2021-03,2021,3,512.7643,526.68,1
2021-04-01,BAJFINANCE.NS,2021-04,2021,4,513.2852,527.215,1
2021-05-03,BAJFINANCE.NS,2021-05,2021,5,540.4481,555.115,3
2021-06-01,BAJFINANCE.NS,2021-06,2021,6,563.1957,578.48,1
